,Closest City name,Closest Country code
0,ponta delgada,pt
1,avarua,ck
2,pangnirtung,ca
3,semirom,ir
4,kuytun,cn
5,kang,bw
6,dalby,au
7,hilo,us
8,belushya guba,ru
9,seaca de padure,ro
10,ontario,us
11,lithakia,gr
12,afyonkarahisar,tr
13,hobyo,so
14,washington,us
15,sinjah,sd
16,lagoa,pt
17,belomorsk,ru
18,christchurch,nz
19,kintampo,gh
20,masunga,bw
21,komsomolskiy,ru
22,artyk,ru
23,moura,pt
24,shenjiamen,cn
25,sabzevar,ir
26,sao joao da barra,br
27,farah,af
28,abapo,bo
29,yatou,cn
30,nador,ma
31,bambous virieux,mu
32,brownwood,us
33,villazon,bo
34,beysehir,tr
35,kailua,us
36,illoqqortoormiut,gl
37,vila velha,br
38,severo-yeniseyskiy,ru
39,corinth,us
40,hengshui,cn
41,nyrob,ru
42,ransang,ph
43,tarakan,id
44,oistins,bb
45,varkaus,fi
46,forrest city,us
47,zwedru,lr
48,coxim,br
49,ust-kulom,ru
50,waconia,us
51,mehamn,no
52,cehegin,es
53,eureka,us
54,san lorenzo,bo
55,pacifica,us
56,atascadero,us
57,champerico,gt
58,brookhaven,us
59,severnyy,ru
60,burnie,au
61,charters towers,au
62,itarema,br
63,tabiauea,ki
64,chernyshevskiy,ru
65,herat,af
66,kota kinabalu,my
67,lexington,us
68,buariki,ki
69,santa cruz,cr
70,high level,ca
71,comodoro rivadavia,ar
72,chimoio,mz
73,carcassonne,fr
74,uusikaupunki,fi
75,kemijarvi,fi
76,saskylakh,ru
77,taltal,cl
78,filingue,ne
79,filadelfia,py
80,mujiayingzi,cn
81,mys shmidta,ru
82,richards bay,za
83,oruro,bo
84,werda,bw
85,vizinga,ru
86,akdepe,tm
87,uyuni,bo
88,anchorage,us
89,akropong,gh
90,rikitea,pf
91,mrirt,ma
92,pisco,pe
93,saint-pierre,pm
94,miyako,jp
95,fereydun kenar,ir
96,soldotna,us
97,lima,pe
98,verkhnevilyuysk,ru
99,umm jarr,sd
100,matara,lk
101,gasa,bt
102,botou,cn
103,coihaique,cl
104,tshane,bw
105,villamontes,bo
106,rancho grande,hn
107,pochutla,mx
108,tautira,pf
109,suicheng,cn
110,olafsvik,is
111,ngunguru,nz
112,nizhneyansk,ru
113,volksrust,za
114,rundu,na
115,birjand,ir
116,warqla,dz
117,pokhara,np
118,ketchikan,us
119,roald,no
