,Closest City name,Closest Country code,Latitude,Longitude,Temperature,Windspeed,Humidity,Cloudiness
0,suluq,ly,31.67,20.25,14.1,1.65,99,88
2,kysyl-syr,ru,63.9,122.76,-24.6,2.1,78,48
4,thinadhoo,mv,0.53,72.93,28.53,3.5,100,92
5,pacific grove,us,36.62,-121.92,17,0.8,62,1
7,damietta,eg,31.42,31.81,22,4.1,83,20
8,tarrega,es,41.65,1.14,7,2.6,81,0
9,copiapo,cl,-27.37,-70.33,18.63,1.35,71,0
10,riviere des anguilles,mu,-20.49,57.55,25,2.6,83,75
12,grafton,au,-29.68,152.93,17.6,1.5,100,92
13,linhares,br,-19.39,-40.07,26.85,5.35,59,8
14,hohhot,cn,40.81,111.65,-16,2,54,8
15,twentynine palms,us,34.14,-116.05,26,3.1,11,1
17,zwedru,lr,6.07,-8.13,22.75,2.3,94,36
18,suntar,ru,62.14,117.63,-24.18,2.4,75,56
19,charagua,bo,-19.8,-63.22,27,10.15,51,75
21,mogapi,bw,-22.32,27.83,20.25,5.7,56,0
22,buta,cd,2.79,24.73,21.65,0.95,98,0
23,port said,eg,31.26,32.28,22,4.1,83,20
24,xinzhi,cn,36.5,111.7,-4.65,1,34,88
25,bathsheba,bb,13.22,-59.52,30,5.7,79,20
27,newport,us,41.49,-71.31,13,5.1,66,20
28,mehamn,no,71.04,27.85,-7.15,1.95,76,24
29,kande,tg,9.96,1.04,26.08,1.3,58,24
30,hualmay,pe,-11.1,-77.61,20.5,2.65,68,64
31,yeppoon,au,-23.13,150.73,19,2.6,82,40
32,biltine,td,14.53,20.92,23.03,3.9,26,0
33,santa filomena,ph,9.75,123.34,26.4,3.3,100,44
34,jiaozuo,cn,35.24,113.23,-2.55,1.05,53,80
35,klaksvik,fo,62.23,-6.59,4,9.8,69,68
36,eyl,so,7.98,49.82,24.98,8.7,92,8
37,barcelos,br,-0.97,-62.92,30.15,1.8,70,20
38,sanmenxia,cn,34.77,111.18,0.75,1.15,86,92
39,rafai,cf,4.95,23.92,20.6,0.75,99,24
40,oistins,bb,13.07,-59.53,30,5.7,79,20
41,gympie,au,-26.19,152.66,17.03,1.5,96,32
42,cap malheureux,mu,-19.98,57.61,25,2.6,83,75
43,san pedro,ar,-24.23,-64.87,17,4.6,48,90
44,albany,au,-35.02,117.89,15.13,1.45,97,80
45,puerto ayora,ec,-0.74,-90.35,26,7.2,50,20
46,baza,es,37.49,-2.77,-2.4,0.8,77,0
47,general higinio morinigo,py,-25.95,-55.92,23.2,3.25,70,12
48,ejura,gh,7.39,-1.36,23.45,2.5,91,44
49,yukon,us,35.51,-97.76,12,12.9,46,20
50,rocha,uy,-34.48,-54.33,14.4,6.45,55,0
51,hay river,ca,60.82,-115.8,-16,2.1,84,75
52,berlevag,no,70.86,29.09,0.33,2.65,100,92
53,shenxian,cn,36.24,115.67,-3.38,3.3,70,64
54,hwange,zw,-18.37,26.5,20.9,3.65,65,12
55,pelym,ru,61.01,62,-5.85,2.4,90,88
56,carroll,us,42.07,-94.87,7,12.9,60,1
57,corinto,ni,12.48,-87.17,30,2.1,55,20
58,half moon bay,us,37.46,-122.43,16,3.1,44,1
59,huron,us,44.36,-98.21,2,9.3,47,1
60,kavieng,pg,-2.57,150.8,27.9,1.3,100,48
62,shizunai,jp,42.33,142.37,-5.38,2.7,100,44
63,port elizabeth,za,-33.92,25.57,15,1.5,82,0
64,dubbo,au,-32.25,148.62,16,3.6,82,40
65,katima mulilo,na,-17.5,24.27,17.45,1.3,45,36
66,bonfim,br,3.08,-59.95,35.88,2.85,32,0
67,marrakesh,ma,31.63,-8.01,20,4.6,28,40
68,gloria,ph,12.98,121.47,22.45,1.15,100,92
69,egvekinot,ru,66.32,-179.17,-3.78,2.85,86,92
70,gazanjyk,tm,39.24,55.52,6.45,2.95,94,12
71,vihti,fi,60.42,24.33,5,8.2,86,75
73,guatire,ve,10.48,-66.54,30,0.75,79,40
74,kotido,ug,2.98,34.13,18.63,2.9,69,0
76,sheboygan,us,43.75,-87.71,4,7.2,93,90
78,zhuanghe,cn,39.7,122.99,-2.15,7.55,100,0
79,niamey,ne,13.51,2.11,31,0.5,66,32
80,anqing,cn,30.51,117.05,3.65,4.1,100,56
81,zemio,cf,5.03,25.14,20.45,0.95,96,20
82,palu,id,-0.89,119.87,25.63,1.35,99,12
83,chimore,bo,-16.98,-65.13,22.73,2.85,99,92
85,poplar bluff,us,36.76,-90.39,17,15.9,72,40
87,rikitea,pf,-23.12,-134.97,22.88,8.25,100,48
88,am timan,td,11.03,20.28,28.23,3.05,42,12
89,hobart,au,-42.88,147.33,15,3.1,77,0
90,banda aceh,id,5.56,95.32,22.75,1.2,100,24
